body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000000,0.000000,0.695773,0.640409,0.000238,0.020441,-0.767762,0.069553,-0.382404,0.213831,0.005662,0.483644,-0.282010,-0.123475,0.245144,0.093328,-0.145586,0.451057,-0.395775,-0.091008,0.055572,1.736773,0.153760,-0.576355,-0.022958,-1.532653,-0.412343,-0.644480,0.002970,-0.005101,-0.004410,0.003180,0.039691,-0.024030,-0.003330,0.018720,-0.016800,0.007470,0.046891,-0.033540,0.000540,-0.002040,0.012875,-0.005340,0.011909,0.024510,-0.033087,-0.006030,0.004590
-0.000065,-0.000107,0.695742,0.640409,0.000238,0.020441,-0.767762,0.069612,-0.382506,0.213743,0.005726,0.484438,-0.282491,-0.123542,0.245518,0.092992,-0.145437,0.451995,-0.396446,-0.090997,0.055531,1.737031,0.153653,-0.576117,-0.022468,-1.533315,-0.412464,-0.644388,0.002320,-0.003905,-0.003900,0.004285,0.039755,-0.024310,-0.003555,0.018085,-0.016635,0.007295,0.047080,-0.033691,0.000680,-0.003505,0.012791,-0.003860,0.011244,0.022945,-0.030762,-0.007435,0.004975
-0.000130,-0.000217,0.695710,0.640294,0.000381,0.020303,-0.767861,0.069646,-0.382560,0.213675,0.005833,0.485234,-0.282982,-0.123617,0.245867,0.092663,-0.145294,0.452940,-0.397123,-0.090981,0.055432,1.737285,0.153606,-0.575905,-0.022040,-1.533883,-0.412640,-0.644281,0.000370,-0.000320,-0.002370,0.007600,0.039949,-0.025150,-0.004230,0.016180,-0.016140,0.006770,0.047650,-0.034141,0.001100,-0.007900,0.012547,0.000580,0.009249,0.018250,-0.023770,-0.011650,0.006130
-0.000193,-0.000329,0.695678,0.640294,0.000381,0.020303,-0.767861,0.069627,-0.382519,0.213648,0.006030,0.486036,-0.283497,-0.123711,0.246166,0.092346,-0.145166,0.453901,-0.397811,-0.090953,0.055215,1.737532,0.153676,-0.575747,-0.021738,-1.534266,-0.412930,-0.644143,-0.001550,0.003300,-0.000010,0.010490,0.040400,-0.026671,-0.004950,0.013320,-0.015020,0.005420,0.048390,-0.034809,0.001760,-0.014900,0.012287,0.006650,0.005400,0.017200,-0.017378,-0.012390,0.006559
-0.000248,-0.000446,0.695642,0.640205,0.000482,0.020153,-0.767940,0.069584,-0.382428,0.213675,0.006253,0.486850,-0.284049,-0.123815,0.246400,0.092062,-0.145077,0.454876,-0.398515,-0.090910,0.054836,1.737776,0.153872,-0.575689,-0.021352,-1.534579,-0.413136,-0.644019,-0.002480,0.005145,0.002000,0.011510,0.040880,-0.028110,-0.005355,0.010935,-0.013835,0.003920,0.048929,-0.035365,0.002330,-0.021005,0.012141,0.011315,0.001621,0.020320,-0.014788,-0.009284,0.006050
-0.000298,-0.000565,0.695605,0.640205,0.000482,0.020153,-0.767940,0.069528,-0.382313,0.213728,0.006490,0.487671,-0.284621,-0.123925,0.246603,0.091793,-0.145009,0.455858,-0.399226,-0.090860,0.054375,1.738018,0.154129,-0.575682,-0.020925,-1.534857,-0.413301,-0.643901,-0.004920,0.006270,0.004665,0.014025,0.042645,-0.030060,-0.005595,0.007770,-0.012570,0.002280,0.049020,-0.035881,0.002970,-0.027735,0.010306,0.014655,-0.002475,0.016830,-0.008252,-0.013155,0.006689
-0.000344,-0.000687,0.695566,0.640140,0.000529,0.019946,-0.767999,0.069387,-0.382177,0.213861,0.006814,0.488556,-0.285252,-0.124039,0.246711,0.091559,-0.144986,0.456837,-0.399950,-0.090792,0.053726,1.738188,0.154458,-0.575788,-0.020679,-1.534909,-0.413662,-0.643751,-0.008455,0.007060,0.007245,0.016435,0.044780,-0.031956,-0.006020,0.004775,-0.011245,0.001270,0.048625,-0.036060,0.003495,-0.030455,0.008738,0.013545,-0.005116,0.012200,-0.001714,-0.018296,0.008804
-0.000389,-0.000809,0.695526,0.640145,0.000526,0.019871,-0.767997,0.069190,-0.382031,0.214018,0.007147,0.489462,-0.285899,-0.124166,0.246794,0.091343,-0.144958,0.457803,-0.400668,-0.090720,0.053157,1.738368,0.154671,-0.575887,-0.020437,-1.534926,-0.414033,-0.643549,-0.012670,0.007901,0.009000,0.017140,0.046370,-0.033230,-0.006980,0.002900,-0.009880,0.001660,0.047710,-0.035610,0.003720,-0.024530,0.009403,0.004860,-0.004530,0.011900,0.000885,-0.019000,0.012721
-0.000430,-0.000931,0.695486,0.640170,0.000510,0.019799,-0.767978,0.068880,-0.381861,0.214221,0.007500,0.490411,-0.286581,-0.124318,0.246827,0.091164,-0.144920,0.458745,-0.401375,-0.090643,0.052745,1.738564,0.154652,-0.575969,-0.020203,-1.534873,-0.414422,-0.643242,-0.016570,0.008810,0.009940,0.016280,0.047440,-0.034310,-0.008240,0.001030,-0.008960,0.001680,0.046500,-0.035069,0.004070,-0.013760,0.010931,-0.009250,-0.001369,0.012620,0.002649,-0.018829,0.016761
-0.000470,-0.001054,0.695445,0.640179,0.000505,0.019775,-0.767971,0.068527,-0.381678,0.214415,0.007799,0.491360,-0.287272,-0.124495,0.246835,0.090985,-0.144891,0.459663,-0.402071,-0.090557,0.052606,1.738805,0.154301,-0.575941,-0.019932,-1.534820,-0.414786,-0.642878,-0.018205,0.009335,0.009595,0.014285,0.047455,-0.034654,-0.009170,0.000100,-0.008945,0.001320,0.045600,-0.034710,0.004370,-0.003530,0.012562,-0.021730,0.002785,0.014000,0.002706,-0.017870,0.018905
-0.000508,-0.001178,0.695404,0.640179,0.000505,0.019775,-0.767971,0.068152,-0.381488,0.214605,0.008071,0.492309,-0.287967,-0.124685,0.246831,0.090806,-0.144867,0.460569,-0.402763,-0.090468,0.052604,1.739067,0.153783,-0.575858,-0.019643,-1.534765,-0.415137,-0.642486,-0.016890,0.007591,0.008490,0.013695,0.047775,-0.034770,-0.008745,-0.000585,-0.010065,-0.000180,0.044895,-0.034726,0.005190,0.001350,0.010335,-0.027750,0.008249,0.016290,0.002176,-0.015870,0.019726
-0.000536,-0.001305,0.695363,0.640273,0.000475,0.019654,-0.767896,0.067851,-0.381375,0.214755,0.008346,0.493271,-0.288662,-0.124845,0.246812,0.090582,-0.144898,0.461459,-0.403460,-0.090350,0.052660,1.739218,0.153191,-0.575611,-0.019281,-1.534733,-0.415421,-0.642089,-0.014695,0.005130,0.007005,0.013490,0.048060,-0.034645,-0.007740,-0.001050,-0.011585,-0.001850,0.044335,-0.034904,0.006160,0.002890,0.006321,-0.029355,0.012270,0.019005,0.001144,-0.013315,0.019759
