body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,0.000000,0.075785,0.028986,0.682673,-0.026987,0.729650,0.000000,-0.154000,0.023100,-0.084500,0.000000,0.000000,0.000000,0.154000,0.023100,-0.084500,0.000000,0.000000,0.000000,0.272000,0.000000,0.000000,-0.312000,0.272000,0.000000,0.000000,-0.312000,-0.079500,-0.490950,0.364300,0.452700,0.495400,-0.070500,-0.332500,0.470400,-0.344600,-0.043000,0.380850,-0.156050,0.410400,0.134249,0.996850,-2.256850,-0.744949,0.833599,-1.298350,1.099050,-1.615250
-0.000750,0.000110,0.075785,0.028661,0.682330,-0.026401,0.730005,-0.001590,-0.163819,0.030386,-0.075446,0.009908,-0.001410,-0.006650,0.163408,0.016208,-0.085360,0.007617,-0.003121,0.008208,0.274685,0.019937,-0.045137,-0.326899,0.288672,-0.025967,0.021981,-0.344305,-0.079525,-0.490975,0.364275,0.452675,0.495400,-0.070500,-0.332525,0.470375,-0.344600,-0.043000,0.380850,-0.156075,0.410400,0.134250,0.996850,-2.256850,-0.744975,0.833599,-1.298375,1.099050,-1.615275
-0.001499,0.000220,0.075785,0.028336,0.681987,-0.025816,0.730359,-0.003181,-0.173639,0.037671,-0.066393,0.019816,-0.002820,-0.013301,0.172815,0.009316,-0.086220,0.015234,-0.006243,0.016416,0.277370,0.039874,-0.090274,-0.341799,0.305344,-0.051935,0.043962,-0.376611,-0.079525,-0.490975,0.364275,0.452675,0.495400,-0.070500,-0.332525,0.470375,-0.344600,-0.042975,0.380850,-0.156075,0.410375,0.134250,0.996850,-2.256875,-0.744975,0.833625,-1.298375,1.099050,-1.615275
-0.002249,0.000331,0.075784,0.028011,0.681644,-0.025230,0.730712,-0.004771,-0.183458,0.044957,-0.057339,0.029724,-0.004230,-0.019951,0.182223,0.002424,-0.087079,0.022851,-0.009364,0.024623,0.280055,0.059811,-0.135412,-0.356698,0.322017,-0.077902,0.065943,-0.408916,-0.079500,-0.490975,0.364275,0.452675,0.495400,-0.070475,-0.332500,0.470375,-0.344625,-0.042975,0.380850,-0.156050,0.410375,0.134250,0.996850,-2.256876,-0.744975,0.833625,-1.298375,1.099050,-1.615251
-0.002999,0.000441,0.075784,0.027686,0.681300,-0.024644,0.731065,-0.006361,-0.193278,0.052242,-0.048286,0.039632,-0.005639,-0.026601,0.191630,-0.004469,-0.087939,0.030468,-0.012485,0.032831,0.282740,0.079748,-0.180549,-0.371598,0.338689,-0.103870,0.087924,-0.441221,-0.079500,-0.490975,0.364275,0.452675,0.495375,-0.070475,-0.332525,0.470375,-0.344625,-0.043000,0.380850,-0.156050,0.410400,0.134251,0.996850,-2.256850,-0.744975,0.833600,-1.298375,1.099050,-1.615250
-0.003749,0.000551,0.075784,0.027361,0.680956,-0.024058,0.731418,-0.007951,-0.203097,0.059528,-0.039232,0.049539,-0.007049,-0.033252,0.201038,-0.011361,-0.088799,0.038085,-0.015606,0.041039,0.285425,0.099685,-0.225686,-0.386497,0.355361,-0.129837,0.109905,-0.473526,-0.079525,-0.490975,0.364275,0.452675,0.495375,-0.070500,-0.332525,0.470400,-0.344600,-0.043000,0.380875,-0.156075,0.410400,0.134250,0.996850,-2.256849,-0.744975,0.833600,-1.298375,1.099075,-1.615275
-0.004498,0.000661,0.075784,0.027035,0.680611,-0.023472,0.731770,-0.009542,-0.212917,0.066813,-0.030179,0.059447,-0.008459,-0.039902,0.210446,-0.018253,-0.089659,0.045703,-0.018728,0.049247,0.288110,0.119622,-0.270823,-0.401397,0.372033,-0.155805,0.131887,-0.505832,-0.079525,-0.490975,0.364275,0.452675,0.495400,-0.070500,-0.332500,0.470375,-0.344600,-0.042975,0.380875,-0.156075,0.410400,0.134250,0.996850,-2.256850,-0.744975,0.833625,-1.298375,1.099075,-1.615275
-0.005248,0.000772,0.075784,0.026710,0.680266,-0.022886,0.732121,-0.011132,-0.222736,0.074099,-0.021125,0.069355,-0.009869,-0.046552,0.219853,-0.025145,-0.090518,0.053320,-0.021849,0.057455,0.290795,0.139559,-0.315960,-0.416296,0.388706,-0.181772,0.153868,-0.538137,-0.079500,-0.490950,0.364275,0.452700,0.495400,-0.070500,-0.332525,0.470375,-0.344600,-0.042975,0.380850,-0.156050,0.410375,0.134251,0.996850,-2.256852,-0.744951,0.833625,-1.298375,1.099050,-1.615250
-0.005998,0.000882,0.075783,0.026385,0.679920,-0.022300,0.732472,-0.012722,-0.232555,0.081384,-0.012071,0.079263,-0.011279,-0.053203,0.229261,-0.032037,-0.091378,0.060937,-0.024970,0.065662,0.293480,0.159496,-0.361097,-0.431195,0.405378,-0.207740,0.175849,-0.570442,-0.079500,-0.490975,0.364275,0.452675,0.495400,-0.070500,-0.332525,0.470375,-0.344600,-0.043000,0.380850,-0.156075,0.410375,0.134250,0.996850,-2.256875,-0.744975,0.833600,-1.298375,1.099050,-1.615250
-0.006748,0.000992,0.075783,0.026060,0.679574,-0.021714,0.732822,-0.014312,-0.242375,0.088670,-0.003018,0.089171,-0.012689,-0.059853,0.238668,-0.038929,-0.092238,0.068554,-0.028092,0.073870,0.296165,0.179433,-0.406235,-0.446095,0.422050,-0.233707,0.197830,-0.602747,-0.079525,-0.490975,0.364275,0.452675,0.495400,-0.070500,-0.332500,0.470375,-0.344625,-0.043000,0.380850,-0.156075,0.410400,0.134250,0.996850,-2.256873,-0.744975,0.833600,-1.298374,1.099050,-1.615274
